repo_name,stars,forks,watchers,language,url,commits
oven-sh/bun,92244,4633,92244,Rust,https://api.github.com/repos/oven-sh/bun,15464
deepseek-ai/DeepSeek-R1,92025,11728,92025,,https://api.github.com/repos/deepseek-ai/DeepSeek-R1,36
ruanyf/weekly,91708,4107,91708,,https://api.github.com/repos/ruanyf/weekly,822
PanJiaChen/vue-element-admin,90281,30489,90281,Vue,https://api.github.com/repos/PanJiaChen/vue-element-admin,1020
storybookjs/storybook,90047,10078,90047,TypeScript,https://api.github.com/repos/storybookjs/storybook,80131
microsoft/playwright,89204,5742,89204,TypeScript,https://api.github.com/repos/microsoft/playwright,17054
bitcoin/bitcoin,89164,38967,89164,C++,https://api.github.com/repos/bitcoin/bitcoin,49001
gin-gonic/gin,88553,8609,88553,Go,https://api.github.com/repos/gin-gonic/gin,1991
mermaid-js/mermaid,88213,9003,88213,TypeScript,https://api.github.com/repos/mermaid-js/mermaid,14973
gohugoio/hugo,88213,8267,88213,Go,https://api.github.com/repos/gohugoio/hugo,9743
ChatGPTNextWeb/NextChat,88068,59703,88068,TypeScript,https://api.github.com/repos/ChatGPTNextWeb/NextChat,3093
opencv/opencv,87594,56576,87594,C++,https://api.github.com/repos/opencv/opencv,36193
django/django,87514,33931,87514,Python,https://api.github.com/repos/django/django,34613
punkpeye/awesome-mcp-servers,87344,10530,87344,,https://api.github.com/repos/punkpeye/awesome-mcp-servers,6630
home-assistant/core,87184,37541,87184,Python,https://api.github.com/repos/home-assistant/core,110058
louislam/uptime-kuma,87085,7882,87085,JavaScript,https://api.github.com/repos/louislam/uptime-kuma,7095
3b1b/manim,87036,7297,87036,Python,https://api.github.com/repos/3b1b/manim,6369
sveltejs/svelte,86615,4921,86615,JavaScript,https://api.github.com/repos/sveltejs/svelte,11197
modelcontextprotocol/servers,86081,10782,86081,TypeScript,https://api.github.com/repos/modelcontextprotocol/servers,4102
microsoft/ML-For-Beginners,85911,20835,85911,Jupyter Notebook,https://api.github.com/repos/microsoft/ML-For-Beginners,2287
