repo_name,stars,forks,watchers,language,url
PDFMathTranslate/PDFMathTranslate,33944,3050,33944,Python,https://api.github.com/repos/PDFMathTranslate/PDFMathTranslate
lllyasviel/ControlNet,33888,3016,33888,Python,https://api.github.com/repos/lllyasviel/ControlNet
IceWhaleTech/CasaOS,33871,1907,33871,Go,https://api.github.com/repos/IceWhaleTech/CasaOS
medusajs/medusa,33857,4534,33857,TypeScript,https://api.github.com/repos/medusajs/medusa
anoma/anoma,33840,4117,33840,Elixir,https://api.github.com/repos/anoma/anoma
casey/just,33822,790,33822,Rust,https://api.github.com/repos/casey/just
luongnv89/claude-howto,33800,4142,33800,Python,https://api.github.com/repos/luongnv89/claude-howto
halfrost/LeetCode-Go,33792,5737,33792,Go,https://api.github.com/repos/halfrost/LeetCode-Go
Pythagora-io/gpt-pilot,33775,3494,33775,Python,https://api.github.com/repos/Pythagora-io/gpt-pilot
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,33745,7171,33745,,https://api.github.com/repos/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
balena-io/etcher,33744,2371,33744,TypeScript,https://api.github.com/repos/balena-io/etcher
alibaba/easyexcel,33723,7599,33723,Java,https://api.github.com/repos/alibaba/easyexcel
nothings/stb,33712,8057,33712,C,https://api.github.com/repos/nothings/stb
carbon-language/carbon-lang,33711,1534,33711,C++,https://api.github.com/repos/carbon-language/carbon-lang
derailed/k9s,33707,2166,33707,Go,https://api.github.com/repos/derailed/k9s
huggingface/diffusers,33682,6995,33682,Python,https://api.github.com/repos/huggingface/diffusers
ocrmypdf/OCRmyPDF,33677,2336,33677,Python,https://api.github.com/repos/ocrmypdf/OCRmyPDF
Blankj/AndroidUtilCode,33674,10656,33674,Java,https://api.github.com/repos/Blankj/AndroidUtilCode
restic/restic,33624,1760,33624,Go,https://api.github.com/repos/restic/restic
github/awesome-copilot,33601,4087,33601,Python,https://api.github.com/repos/github/awesome-copilot
explosion/spaCy,33601,4686,33601,Python,https://api.github.com/repos/explosion/spaCy
lib-pku/libpku,33591,8225,33591,TeX,https://api.github.com/repos/lib-pku/libpku
shadowsocks/shadowsocks,33591,18141,33591,Python,https://api.github.com/repos/shadowsocks/shadowsocks
openai/CLIP,33549,4009,33549,Jupyter Notebook,https://api.github.com/repos/openai/CLIP
TabbyML/tabby,33538,1747,33538,Rust,https://api.github.com/repos/TabbyML/tabby
fish-shell/fish-shell,33503,2303,33503,Rust,https://api.github.com/repos/fish-shell/fish-shell
pcottle/learnGitBranching,33468,5971,33468,JavaScript,https://api.github.com/repos/pcottle/learnGitBranching
XX-net/XX-Net,33461,7573,33461,Python,https://api.github.com/repos/XX-net/XX-Net
AFNetworking/AFNetworking,33456,10597,33456,Objective-C,https://api.github.com/repos/AFNetworking/AFNetworking
bayandin/awesome-awesomeness,33445,3599,33445,Ruby,https://api.github.com/repos/bayandin/awesome-awesomeness
swc-project/swc,33440,1394,33440,Rust,https://api.github.com/repos/swc-project/swc
backstage/backstage,33406,7340,33406,TypeScript,https://api.github.com/repos/backstage/backstage
Hmbown/DeepSeek-TUI,33337,2851,33337,Rust,https://api.github.com/repos/Hmbown/DeepSeek-TUI
mli/paper-reading,33319,2804,33319,,https://api.github.com/repos/mli/paper-reading
continuedev/continue,33317,4545,33317,TypeScript,https://api.github.com/repos/continuedev/continue
mckaywrigley/chatbot-ui,33255,9437,33255,TypeScript,https://api.github.com/repos/mckaywrigley/chatbot-ui
MonitorControl/MonitorControl,33244,969,33244,Swift,https://api.github.com/repos/MonitorControl/MonitorControl
SerenityOS/serenity,33200,3330,33200,C++,https://api.github.com/repos/SerenityOS/serenity
OpenBMB/ChatDev,33165,4112,33165,Python,https://api.github.com/repos/OpenBMB/ChatDev
microsoft/graphrag,33164,3512,33164,Python,https://api.github.com/repos/microsoft/graphrag
bilibili/ijkplayer,33155,8237,33155,C,https://api.github.com/repos/bilibili/ijkplayer
lissy93/web-check,33149,2682,33149,TypeScript,https://api.github.com/repos/lissy93/web-check
immutable-js/immutable-js,33063,1845,33063,TypeScript,https://api.github.com/repos/immutable-js/immutable-js
k3s-io/k3s,33059,2667,33059,Go,https://api.github.com/repos/k3s-io/k3s
raysan5/raylib,33053,3109,33053,C,https://api.github.com/repos/raysan5/raylib
kovidgoyal/kitty,33051,1372,33051,Python,https://api.github.com/repos/kovidgoyal/kitty
adobe/brackets,33050,7490,33050,JavaScript,https://api.github.com/repos/adobe/brackets
certbot/certbot,33046,3494,33046,Python,https://api.github.com/repos/certbot/certbot
zeromicro/go-zero,33027,4296,33027,Go,https://api.github.com/repos/zeromicro/go-zero
remix-run/remix,33001,2771,33001,TypeScript,https://api.github.com/repos/remix-run/remix
google/comprehensive-rust,32981,2013,32981,Rust,https://api.github.com/repos/google/comprehensive-rust
gulpjs/gulp,32975,4154,32975,JavaScript,https://api.github.com/repos/gulpjs/gulp
alibaba/nacos,32957,13279,32957,Java,https://api.github.com/repos/alibaba/nacos
lutzroeder/netron,32937,3119,32937,JavaScript,https://api.github.com/repos/lutzroeder/netron
ibraheemdev/modern-unix,32922,829,32922,,https://api.github.com/repos/ibraheemdev/modern-unix
NginxProxyManager/nginx-proxy-manager,32907,3747,32907,TypeScript,https://api.github.com/repos/NginxProxyManager/nginx-proxy-manager
cursor/cursor,32902,2241,32902,,https://api.github.com/repos/cursor/cursor
shadowsocks/ShadowsocksX-NG,32896,7811,32896,Swift,https://api.github.com/repos/shadowsocks/ShadowsocksX-NG
zellij-org/zellij,32891,1218,32891,Rust,https://api.github.com/repos/zellij-org/zellij
